Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
1,5,2015-07-31,5263,555,1,1,0,1,c,a,1270.0,9.0,2008.0,0,0.0,0.0,None
2,5,2015-07-31,6064,625,1,1,0,1,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
3,5,2015-07-31,8314,821,1,1,0,1,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
4,5,2015-07-31,13995,1498,1,1,0,1,c,c,620.0,9.0,2009.0,0,0.0,0.0,None
5,5,2015-07-31,4822,559,1,1,0,1,a,a,29910.0,4.0,2015.0,0,0.0,0.0,None
6,5,2015-07-31,5651,589,1,1,0,1,a,a,310.0,12.0,2013.0,0,0.0,0.0,None
7,5,2015-07-31,15344,1414,1,1,0,1,a,c,24000.0,4.0,2013.0,0,0.0,0.0,None
8,5,2015-07-31,8492,833,1,1,0,1,a,a,7520.0,10.0,2014.0,0,0.0,0.0,None
9,5,2015-07-31,8565,687,1,1,0,1,a,c,2030.0,8.0,2000.0,0,0.0,0.0,None
10,5,2015-07-31,7185,681,1,1,0,1,a,a,3160.0,9.0,2009.0,0,0.0,0.0,None
11,5,2015-07-31,10457,1236,1,1,0,1,a,c,960.0,11.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
12,5,2015-07-31,8959,962,1,1,0,1,a,c,1070.0,0.0,0.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
13,5,2015-07-31,8821,568,1,1,0,0,d,a,310.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
14,5,2015-07-31,6544,710,1,1,0,1,a,a,1300.0,3.0,2014.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
15,5,2015-07-31,9191,766,1,1,0,1,d,c,4110.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
16,5,2015-07-31,10231,979,1,1,0,1,a,c,3270.0,0.0,0.0,0,0.0,0.0,None
17,5,2015-07-31,8430,946,1,1,0,1,a,a,50.0,12.0,2005.0,1,26.0,2010.0,"Jan,Apr,Jul,Oct"
18,5,2015-07-31,10071,936,1,1,0,1,d,c,13840.0,6.0,2010.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct"
19,5,2015-07-31,8234,718,1,1,0,1,a,c,3240.0,0.0,0.0,1,22.0,2011.0,"Mar,Jun,Sept,Dec"
20,5,2015-07-31,9593,974,1,1,0,0,d,a,2340.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
21,5,2015-07-31,9515,682,1,1,0,1,c,c,550.0,10.0,1999.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct"
22,5,2015-07-31,6566,633,1,1,0,0,a,a,1040.0,0.0,0.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
23,5,2015-07-31,7273,560,1,1,0,1,d,a,4060.0,8.0,2005.0,0,0.0,0.0,None
24,5,2015-07-31,14190,1082,1,1,0,1,a,c,4590.0,3.0,2000.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
25,5,2015-07-31,14180,1586,1,1,0,1,c,a,430.0,4.0,2003.0,0,0.0,0.0,None
26,5,2015-07-31,7818,611,1,1,0,1,d,a,2300.0,0.0,0.0,0,0.0,0.0,None
27,5,2015-07-31,13213,1263,1,1,0,1,a,a,60.0,1.0,2005.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct"
28,5,2015-07-31,7301,663,1,1,0,1,a,a,1200.0,10.0,2014.0,1,6.0,2015.0,"Mar,Jun,Sept,Dec"
29,5,2015-07-31,9411,737,1,1,0,1,d,c,2170.0,0.0,0.0,0,0.0,0.0,None
30,5,2015-07-31,4776,625,1,1,0,1,a,a,40.0,2.0,2014.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
31,5,2015-07-31,7248,645,1,1,0,1,d,c,9800.0,7.0,2012.0,0,0.0,0.0,None
32,5,2015-07-31,6395,635,1,1,0,0,a,a,2910.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
33,5,2015-07-31,10789,915,1,1,0,1,a,c,1320.0,5.0,2013.0,0,0.0,0.0,None
34,5,2015-07-31,11144,1162,1,1,0,1,c,a,2240.0,9.0,2009.0,0,0.0,0.0,None
35,5,2015-07-31,12412,777,1,1,0,1,d,c,7660.0,10.0,2000.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
36,5,2015-07-31,12422,1251,1,1,0,0,a,c,540.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
37,5,2015-07-31,9091,888,1,1,0,1,c,a,4230.0,12.0,2014.0,0,0.0,0.0,None
38,5,2015-07-31,7434,608,1,1,0,1,d,a,1090.0,4.0,2007.0,0,0.0,0.0,None
39,5,2015-07-31,8336,929,1,1,0,1,a,a,260.0,10.0,2006.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
40,5,2015-07-31,5464,678,1,1,0,1,a,a,180.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
41,5,2015-07-31,6938,494,1,1,0,0,d,c,1180.0,0.0,0.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
42,5,2015-07-31,11946,1235,1,1,0,1,a,c,290.0,0.0,0.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
43,5,2015-07-31,8096,683,1,1,0,1,d,a,4880.0,0.0,0.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
44,5,2015-07-31,6670,665,1,1,0,1,a,a,540.0,6.0,2011.0,0,0.0,0.0,None
45,5,2015-07-31,6301,442,1,1,0,1,d,a,9710.0,2.0,2014.0,0,0.0,0.0,None
46,5,2015-07-31,7628,775,1,1,0,0,c,a,1200.0,9.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
47,5,2015-07-31,9379,1021,1,1,0,1,a,c,270.0,4.0,2013.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
48,5,2015-07-31,3874,390,1,1,0,1,a,a,1060.0,5.0,2012.0,0,0.0,0.0,None
49,5,2015-07-31,10310,666,1,1,0,1,d,c,18010.0,9.0,2007.0,0,0.0,0.0,None
50,5,2015-07-31,5729,441,1,1,0,1,d,a,6260.0,11.0,2009.0,0,0.0,0.0,None
51,5,2015-07-31,9198,610,1,1,0,0,a,c,10570.0,7.0,2013.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct"
52,5,2015-07-31,8031,527,1,1,0,0,d,c,450.0,4.0,2014.0,1,39.0,2010.0,"Jan,Apr,Jul,Oct"
53,5,2015-07-31,7540,690,1,1,0,1,a,c,30360.0,9.0,2013.0,0,0.0,0.0,None
54,5,2015-07-31,10732,889,1,1,0,1,d,c,7170.0,8.0,2014.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
55,5,2015-07-31,6096,673,1,1,0,1,a,a,720.0,11.0,2004.0,0,0.0,0.0,None
56,5,2015-07-31,10022,619,1,1,0,1,d,c,6620.0,3.0,2012.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
57,5,2015-07-31,11594,1025,1,1,0,1,d,c,420.0,6.0,2014.0,0,0.0,0.0,None
58,5,2015-07-31,8581,603,1,1,0,0,a,c,7340.0,5.0,2008.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
59,5,2015-07-31,7148,628,1,1,0,1,a,c,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
60,5,2015-07-31,9762,776,1,1,0,1,d,c,5540.0,10.0,2009.0,0,0.0,0.0,None
61,5,2015-07-31,5572,665,1,1,0,1,a,c,350.0,12.0,2007.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
62,5,2015-07-31,7495,772,1,1,0,1,a,a,2050.0,0.0,0.0,0,0.0,0.0,None
63,5,2015-07-31,11525,846,1,1,0,1,c,c,3700.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov"
